date,treasury3
2020-05-15,0.874
2020-05-14,0.869
2020-05-13,0.856
2020-05-12,0.886
2020-05-11,0.926
2020-05-08,0.914
2020-05-07,0.946
2020-05-06,0.96
2020-05-04,0.975
2020-04-29,1.006
2020-04-28,1.033
2020-04-27,1.026
2020-04-24,1.018
2020-04-23,1.036
2020-04-22,1.046
2020-04-21,1.035
2020-04-20,1.013
2020-04-17,1.006
2020-04-16,0.982
2020-04-14,0.996
2020-04-13,0.996
2020-04-10,0.97
2020-04-09,0.986
2020-04-08,1.024
2020-04-07,1.047
2020-04-06,1.052
2020-04-03,1.066
2020-04-02,1.059
2020-04-01,1.092
2020-03-31,1.07
2020-03-30,1.098
2020-03-27,1.06
2020-03-26,1.067
2020-03-25,1.131
2020-03-24,1.127
2020-03-23,1.153
2020-03-20,1.107
2020-03-19,1.193
2020-03-18,1.05
2020-03-17,1.03
2020-03-16,1.099
2020-03-13,1.149
2020-03-12,1.062
2020-03-11,1.086
2020-03-10,1.082
2020-03-09,1.038
2020-03-06,1.078
2020-03-05,1.051
2020-03-04,1.029
2020-03-03,1.11
2020-03-02,1.128
2020-02-28,1.104
2020-02-27,1.194
2020-02-26,1.135
2020-02-25,1.171
2020-02-24,1.139
2020-02-21,1.182
2020-02-20,1.234
2020-02-19,1.284
2020-02-18,1.271
2020-02-17,1.32
2020-02-14,1.33
2020-02-13,1.275
2020-02-12,1.297
2020-02-11,1.299
2020-02-10,1.296
2020-02-07,1.28
2020-02-06,1.311
2020-02-05,1.307
2020-02-04,1.331
2020-02-03,1.291
2020-01-31,1.303
2020-01-30,1.301
2020-01-29,1.33
2020-01-28,1.352
2020-01-23,1.424
2020-01-22,1.437
2020-01-21,1.395
2020-01-20,1.455
2020-01-17,1.433
2020-01-16,1.426
2020-01-15,1.391
2020-01-14,1.386
2020-01-13,1.418
2020-01-10,1.425
2020-01-09,1.416
2020-01-08,1.363
2020-01-07,1.331
2020-01-06,1.277
2020-01-03,1.27
2020-01-02,1.327
2019-12-30,1.36
2019-12-27,1.37
2019-12-26,1.367
2019-12-24,1.37
2019-12-23,1.38
2019-12-20,1.392
2019-12-19,1.383
2019-12-18,1.357
2019-12-17,1.363
2019-12-16,1.369
2019-12-13,1.402
2019-12-12,1.382
2019-12-11,1.381
2019-12-10,1.39
2019-12-09,1.412
2019-12-06,1.43
2019-12-05,1.423
2019-12-04,1.406
2019-12-03,1.46
2019-12-02,1.425
2019-11-29,1.385
2019-11-28,1.43
2019-11-27,1.456
2019-11-26,1.475
2019-11-25,1.475
2019-11-22,1.456
2019-11-21,1.462
2019-11-20,1.45
2019-11-19,1.485
2019-11-18,1.518
2019-11-15,1.513
2019-11-14,1.515
2019-11-13,1.51
2019-11-12,1.564
2019-11-11,1.5
2019-11-08,1.518
2019-11-07,1.541
2019-11-06,1.53
2019-11-05,1.522
2019-11-04,1.55
2019-11-01,1.467
2019-10-31,1.466
2019-10-30,1.481
2019-10-29,1.499
2019-10-28,1.523
2019-10-25,1.435
2019-10-24,1.396
2019-10-23,1.388
2019-10-22,1.379
2019-10-21,1.408
2019-10-18,1.375
2019-10-17,1.375
2019-10-16,1.32
2019-10-15,1.281
2019-10-14,1.281
2019-10-11,1.281
2019-10-10,1.276
2019-10-08,1.264
2019-10-07,1.232
2019-10-04,1.21
2019-10-02,1.303
2019-10-01,1.323
2019-09-30,1.297
2019-09-27,1.301
2019-09-26,1.301
2019-09-25,1.304
2019-09-24,1.325
2019-09-23,1.331
2019-09-20,1.332
2019-09-19,1.329
2019-09-18,1.309
2019-09-17,1.315
2019-09-16,1.348
2019-09-11,1.258
2019-09-10,1.242
2019-09-09,1.235
2019-09-06,1.265
2019-09-05,1.259
2019-09-04,1.241
2019-09-03,1.228
2019-09-02,1.233
2019-08-30,1.168
2019-08-29,1.167
2019-08-28,1.18
2019-08-27,1.171
2019-08-26,1.121
2019-08-23,1.169
2019-08-22,1.13
2019-08-21,1.156
2019-08-20,1.101
2019-08-19,1.093
2019-08-16,1.095
2019-08-14,1.149
2019-08-13,1.15
2019-08-12,1.182
2019-08-09,1.186
2019-08-08,1.165
2019-08-07,1.153
2019-08-06,1.163
2019-08-05,1.172
2019-08-02,1.26
2019-08-01,1.309
2019-07-31,1.292
2019-07-30,1.301
2019-07-29,1.306
2019-07-26,1.308
2019-07-25,1.302
2019-07-24,1.321
2019-07-23,1.339
2019-07-22,1.333
2019-07-19,1.327
2019-07-18,1.345
2019-07-17,1.399
2019-07-16,1.431
2019-07-15,1.434
2019-07-12,1.424
2019-07-11,1.419
2019-07-10,1.438
2019-07-09,1.424
2019-07-08,1.422
2019-07-05,1.423
2019-07-04,1.416
2019-07-03,1.429
2019-07-02,1.463
2019-07-01,1.479
2019-06-28,1.472
2019-06-27,1.494
2019-06-26,1.496
2019-06-25,1.478
2019-06-24,1.44
2019-06-21,1.44
2019-06-20,1.42
